name,salary,team,position,versus,ceiling,ceil/$,floor,fl/$,projected,proj/$,,40700,
Joffrey Lauvergne,3500,SAS,C,BKN,8.5838,2.45251,1.6962,0.484629,5.14,1.46857,0,,
Patrick McCaw,3500,GSW,SG,CHI,14.958,4.27371,1.662,0.474857,8.31,2.37429,0,,
Malik Beasley,3500,DEN,SG,LAC,13.4212,3.83463,1.6588,0.473943,7.54,2.15429,0,,
Tyler Dorsey,3500,ATL,PG,NOP,14.796,4.22743,1.644,0.469714,8.22,2.34857,0,,
Derrick Jones,3600,MIA,SF,MIL,13.626,3.785,1.514,0.420556,7.57,2.10278,0,,
Terrance Ferguson,3500,OKC,SG,LAL,13.446,3.84171,1.494,0.426857,7.47,2.13429,0,,
Kenneth Faried,3500,DEN,PF,LAC,10.2432,2.92663,1.3968,0.399086,5.82,1.66286,0,,
Johnny O'Bryant,3500,CHA,PF,WAS,9.1175,2.605,1.3025,0.372143,5.21,1.48857,0,,
Torrey Craig,3500,DEN,SF,LAC,10.62,3.03429,1.18,0.337143,5.9,1.68571,0,,
Raulzinho Neto,3600,UTA,PG,SAC,9.756,2.71,1.084,0.301111,5.42,1.50556,0,,
Nik Stauskas,3500,BKN,SG,SAS,8.19,2.34,0.91,0.26,4.55,1.3,0,,
Jodie Meeks,3500,WAS,SG,CHA,4.4352,1.2672,0.8448,0.241371,2.64,0.754286,0,,
Malik Monk,3500,CHA,SG,WAS,7.254,2.07257,0.806,0.230286,4.03,1.15143,0,,
Brandon Paul,3500,SAS,SG,BKN,6.264,1.78971,0.696,0.198857,3.48,0.994286,0,,
Malachi Richardson,3500,SAC,SG,UTA,3.3532,0.958057,0.6868,0.196229,2.02,0.577143,0,,
Richard Jefferson,3500,DEN,SF,LAC,6.138,1.75371,0.682,0.194857,3.41,0.974286,0,,
Sean Kilpatrick,3500,MIL,SG,MIA,5.292,1.512,0.588,0.168,2.94,0.84,0,,
Alex Abrines,3500,OKC,SG,LAL,3.9072,1.11634,0.5328,0.152229,2.22,0.634286,0,,
