name,salary,team,position,versus,ceiling,ceil/$,floor,fl/$,projected,proj/$,in/out,,"=sumif(l2:l400,""=1"",b2:b400)",=max(m2:n400)
Michael Kidd-Gilchrist,4000,CHA,SF,ORL,258573,64643,93227,23306,175900,43975,0,=(h138-$h$184)/(b138-$b$184)
Wayne Ellington,3700,MIA,SG,PHI,262404,70920,92196,24917,177300,47918,0
Luc Richard Mbah a Moute,4300,HOU,PF,SAC,271950,63244,90650,21081,181300,42162,0,=(h140-$h$142)/(b140-$b$142)
Pascal Siakam,4300,TOR,PF,CHI,238380,55437,90420,21027,164400,38232,0,=(h141-$h$142)/(b141-$b$142)
Amir Johnson,3500,PHI,PF,MIA,284696,81341,89904,25686,187300,53514,1
Mario Chalmers,3600,MEM,PG,OKC,261942,72761,89658,24905,175799,48833,0,=(h143-$h$182)/(b143-$b$182)
Buddy Hield,5000,SAC,SG,HOU,241338,48267,89262,17852,165300,33060,0
Bismack Biyombo,4800,ORL,C,CHA,341214,71086,87986,18330,214600,44708,0
Shelvin Mack,4800,ORL,PG,CHA,338034,70423,87166,18159,212600,44291,0,=(h146-$h$182)/(b146-$b$182)
Jakob Poeltl,4200,TOR,C,CHI,261149,62178,87050,20726,174100,41452,0
Milos Teodosic,3600,LAC,PG,BOS,171922,47756,84678,23521,128300,35638,0,=(h148-$h$182)/(b148-$b$182)
Kosta Koufos,4100,SAC,C,HOU,287680,70165,83520,20370,185600,45268,0
Zaza Pachulia,4000,GSW,C,POR,220021,55005,81378,20344,150700,37675,0
Marquese Chriss,3900,PHO,PF,UTA,254752,65321,80448,20627,167600,42974,0
Garrett Temple,3800,SAC,SG,HOU,229013,60266,78387,20628,153700,40447,0
C.J. Miles,3800,TOR,SF,CHI,219632,57797,77168,20307,148400,39052,0,=(h153-$h$184)/(b153-$b$184)
Emmanuel Mudiay,4300,NYK,PG,WAS,321569,74783,75430,17541,198500,46162,0,=(h154-$h$182)/(b154-$b$182)
Gerald Green,4200,HOU,SF,SAC,172620,41100,73980,17614,123300,29357,0,=(h155-$h$184)/(b155-$b$184)
Jarell Martin,3700,MEM,PF,OKC,269187,72753,69413,18760,169300,45756,0
OG Anunoby,3500,TOR,SF,CHI,173173,49478,69027,19722,121100,34600,0,=(h157-$h$184)/(b157-$b$184)
Justin Jackson,3700,SAC,SF,HOU,255960,69178,68040,18389,162000,43783,0,=(h158-$h$184)/(b158-$b$184)
Raymond Felton,5000,OKC,PG,MEM,179365,35873,68035,13607,123699,24740,0,=(h159-$h$182)/(b159-$b$182)
