Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,
G,Jack Campbell (13628033),Jack Campbell,13628033,G,6900,LA@STL 10/24/2019 08:00PM ET,LA,10.55,0
G,Alex Stalock (13627984),Alex Stalock,13627984,G,6800,MIN@NSH 10/24/2019 08:00PM ET,MIN,12.3,0
D,Roman Josi (13628023),Roman Josi,13628023,D/UTIL,6800,MIN@NSH 10/24/2019 08:00PM ET,NSH,15.06,0
C,Tyler Seguin (13628027),Tyler Seguin,13628027,C/UTIL,6800,ANH@DAL 10/24/2019 08:30PM ET,DAL,8.64,0
G,Kaapo Kahkonen (13628248),Kaapo Kahkonen,13628248,G,6600,MIN@NSH 10/24/2019 08:00PM ET,MIN,0,0
RW,Travis Konecny (13628273),Travis Konecny,13628273,W/UTIL,6600,PHI@CHI 10/24/2019 08:30PM ET,PHI,12.7,0
G,Calvin Petersen (13628204),Calvin Petersen,13628204,G,6500,LA@STL 10/24/2019 08:00PM ET,LA,0,0
G,Ville Husso (13628245),Ville Husso,13628245,G,6500,LA@STL 10/24/2019 08:00PM ET,STL,0,0
G,Troy Grosenick (13628176),Troy Grosenick,13628176,G,6500,MIN@NSH 10/24/2019 08:00PM ET,NSH,0,0
RW,Viktor Arvidsson (13628249),Viktor Arvidsson,13628249,W/UTIL,6500,MIN@NSH 10/24/2019 08:00PM ET,NSH,11.16,0
G,J-F Berube (13628020),J-F Berube,13628020,G,6500,PHI@CHI 10/24/2019 08:30PM ET,PHI,0,0
G,Alex Lyon (13628315),Alex Lyon,13628315,G,6500,PHI@CHI 10/24/2019 08:30PM ET,PHI,0,0
G,Collin Delia (13628395),Collin Delia,13628395,G,6500,PHI@CHI 10/24/2019 08:30PM ET,CHI,0,0
G,Kevin Lankinen (13628410),Kevin Lankinen,13628410,G,6500,PHI@CHI 10/24/2019 08:30PM ET,CHI,0,0
G,Landon Bow (13628309),Landon Bow,13628309,G,6500,ANH@DAL 10/24/2019 08:30PM ET,DAL,0,0
G,Kevin Boyle (13628314),Kevin Boyle,13628314,G,6500,ANH@DAL 10/24/2019 08:30PM ET,ANH,0,0
D,Alex Pietrangelo (13627973),Alex Pietrangelo,13627973,D/UTIL,6400,LA@STL 10/24/2019 08:00PM ET,STL,12.47,0
C,Sean Couturier (13628082),Sean Couturier,13628082,C/UTIL,6300,PHI@CHI 10/24/2019 08:30PM ET,PHI,10.49,0
RW,Matt Duchene (13627989),Matt Duchene,13627989,W/UTIL,6200,MIN@NSH 10/24/2019 08:00PM ET,NSH,11.82,0
C,Claude Giroux (13627951),Claude Giroux,13627951,C/UTIL,6100,PHI@CHI 10/24/2019 08:30PM ET,PHI,9.01,0
LW,Alex DeBrincat (13628332),Alex DeBrincat,13628332,W/UTIL,6100,PHI@CHI 10/24/2019 08:30PM ET,CHI,10.17,0
