Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,
40590-8404,W,Wayne,Wayne Simmonds,Simmonds,9.461111280653212,18,4200,NJ@MON,NJ,MON,,,,,
40590-82179,C,Alexander,Alexander Kerfoot,Kerfoot,7.930000305175781,20,4200,TOR@PIT,TOR,PIT,O,Face,,,
40590-74016,D,Filip,Filip Hronek,Hronek,10.394999694824218,20,4200,DET@SJ,DET,SJ,DTD,Undisclosed,,,
40590-8516,C,Artem,Artem Anisimov,Anisimov,8,7,4200,OTT@BUF,OTT,BUF,IR,Groin,,,
40590-21926,D,Brian,Brian Dumoulin,Dumoulin,8.646666463216146,15,4200,TOR@PIT,PIT,TOR,,,,,
40590-8619,W,Patrick,Patrick Marleau,Marleau,9.131250381469727,16,4200,DET@SJ,SJ,DET,,,,,
40590-104140,W,Ilya,Ilya Mikheyev,Mikheyev,8.838095528738839,21,4200,TOR@PIT,TOR,PIT,,,,,
40590-97116,C,Jesperi,Jesperi Kotkaniemi,Kotkaniemi,5.775000254313151,12,4200,NJ@MON,MON,NJ,,,,,
40590-14178,D,Justin,Justin Faulk,Faulk,6.905000305175781,20,4200,ANH@STL,STL,ANH,,,,,
40590-101277,D,Quinn,Quinn Hughes,Hughes,8.826315628854852,19,4200,COL@VAN,VAN,COL,,,,,
40590-15272,W,Micheal,Micheal Ferland,Ferland,5.533333460489909,12,4200,COL@VAN,VAN,COL,IR,Concussion,,,
40590-11201,D,Jeff,Jeff Petry,Petry,10.294737163342928,19,4200,NJ@MON,MON,NJ,,,,,
40590-37880,C,Scott,Scott Laughton,Laughton,6.222222222222222,9,4200,NYI@PHI,PHI,NYI,IR,Finger,,,
40590-43042,D,MacKenzie,MacKenzie Weegar,Weegar,9.647058823529411,17,4100,NYR@FLA,FLA,NYR,O,Face,,,
40590-12449,W,Brett,Brett Connolly,Connolly,9.457894576223273,19,4100,NYR@FLA,FLA,NYR,,,,,
40590-8972,C,Tyler,Tyler Bozak,Bozak,6.179999923706054,20,4100,ANH@STL,STL,ANH,,,,,
40590-15281,W,Andrew,Andrew Shaw,Shaw,6.916666666666667,18,4100,CHI@NSH,CHI,NSH,,,,,
40590-42983,W,Joel,Joel Armia,Armia,10.935293758616728,17,4100,NJ@MON,MON,NJ,,,,,
40590-8237,C,Brandon,Brandon Sutter,Sutter,8.631578947368421,19,4000,COL@VAN,VAN,COL,IR,Groin,,,
40590-80992,C,Nolan,Nolan Patrick,Patrick,7.3138885498046875,72,4000,NYI@PHI,PHI,NYI,O,Head,,,
40590-8328,D,Matt,Matt Niskanen,Niskanen,8.384210686934622,19,4000,NYI@PHI,PHI,NYI,,,,,
40590-61859,D,Brandon,Brandon Montour,Montour,7.599999904632568,4,4000,OTT@BUF,BUF,OTT,,,,,
