Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
C,Lucas Wallmark (13687080),Lucas Wallmark,13687080,C/UTIL,2500,NJ@CAR 11/02/2019 07:00PM ET,CAR,4.08
C,Kevin Rooney (13687102),Kevin Rooney,13687102,C/UTIL,2500,NJ@CAR 11/02/2019 07:00PM ET,NJ,2.31
C,Brandon Gignac (13687126),Brandon Gignac,13687126,C/UTIL,2500,NJ@CAR 11/02/2019 07:00PM ET,NJ,0
C,Ryan Suzuki (13687142),Ryan Suzuki,13687142,C/UTIL,2500,NJ@CAR 11/02/2019 07:00PM ET,CAR,0
C,Morgan Geekie (13687148),Morgan Geekie,13687148,C/UTIL,2500,NJ@CAR 11/02/2019 07:00PM ET,CAR,0
C,Blake Speers (13687178),Blake Speers,13687178,C/UTIL,2500,NJ@CAR 11/02/2019 07:00PM ET,NJ,0
C,Clark Bishop (13687188),Clark Bishop,13687188,C/UTIL,2500,NJ@CAR 11/02/2019 07:00PM ET,CAR,0
C,Michael McLeod (13687242),Michael McLeod,13687242,C/UTIL,2500,NJ@CAR 11/02/2019 07:00PM ET,NJ,0
LW,Brock McGinn (13687628),Brock McGinn,13687628,W/UTIL,2500,NJ@CAR 11/02/2019 07:00PM ET,CAR,4.55
RW,Brian Gibbons (13687630),Brian Gibbons,13687630,W/UTIL,2500,NJ@CAR 11/02/2019 07:00PM ET,CAR,3.1
RW,John Hayden (13687646),John Hayden,13687646,W/UTIL,2500,NJ@CAR 11/02/2019 07:00PM ET,NJ,1.66
LW,Jesper Boqvist (13687678),Jesper Boqvist,13687678,W/UTIL,2500,NJ@CAR 11/02/2019 07:00PM ET,NJ,2.05
RW,Jordan Martinook (13687694),Jordan Martinook,13687694,W/UTIL,2500,NJ@CAR 11/02/2019 07:00PM ET,CAR,3.02
LW,Jacob Pritchard (13687780),Jacob Pritchard,13687780,W/UTIL,2500,NJ@CAR 11/02/2019 07:00PM ET,CAR,0
RW,Nathan Bastian (13687782),Nathan Bastian,13687782,W/UTIL,2500,NJ@CAR 11/02/2019 07:00PM ET,NJ,0
RW,Julien Gauthier (13687794),Julien Gauthier,13687794,W/UTIL,2500,NJ@CAR 11/02/2019 07:00PM ET,CAR,0
LW,Max McCormick (13687800),Max McCormick,13687800,W/UTIL,2500,NJ@CAR 11/02/2019 07:00PM ET,CAR,0
RW,Saku Maenalanen (13687804),Saku Maenalanen,13687804,W/UTIL,2500,NJ@CAR 11/02/2019 07:00PM ET,CAR,0
RW,Joey Anderson (13687818),Joey Anderson,13687818,W/UTIL,2500,NJ@CAR 11/02/2019 07:00PM ET,NJ,0
RW,Janne Kuokkanen (13687838),Janne Kuokkanen,13687838,W/UTIL,2500,NJ@CAR 11/02/2019 07:00PM ET,CAR,0
LW,Brett Seney (13687868),Brett Seney,13687868,W/UTIL,2500,NJ@CAR 11/02/2019 07:00PM ET,NJ,0
LW,Ben Street (13687896),Ben Street,13687896,W/UTIL,2500,NJ@CAR 11/02/2019 07:00PM ET,NJ,0
D,Trevor van Riemsdyk (13688212),Trevor van Riemsdyk,13688212,D/UTIL,2500,NJ@CAR 11/02/2019 07:00PM ET,CAR,4.02
D,Matt Tennyson (13688236),Matt Tennyson,13688236,D/UTIL,2500,NJ@CAR 11/02/2019 07:00PM ET,NJ,3.93
D,Haydn Fleury (13688252),Haydn Fleury,13688252,D/UTIL,2500,NJ@CAR 11/02/2019 07:00PM ET,CAR,5.12
D,Mirco Mueller (13688268),Mirco Mueller,13688268,D/UTIL,2500,NJ@CAR 11/02/2019 07:00PM ET,NJ,2.56
D,Connor Carrick (13688284),Connor Carrick,13688284,D/UTIL,2500,NJ@CAR 11/02/2019 07:00PM ET,NJ,5.45
D,Colton White (13688312),Colton White,13688312,D/UTIL,2500,NJ@CAR 11/02/2019 07:00PM ET,NJ,0
D,Roland McKeown (13688342),Roland McKeown,13688342,D/UTIL,2500,NJ@CAR 11/02/2019 07:00PM ET,CAR,0
D,Ty Smith (13688362),Ty Smith,13688362,D/UTIL,2500,NJ@CAR 11/02/2019 07:00PM ET,NJ,0
D,Josh Jacobs (13688370),Josh Jacobs,13688370,D/UTIL,2500,NJ@CAR 11/02/2019 07:00PM ET,NJ,0
D,Jake Bean (13688410),Jake Bean,13688410,D/UTIL,2500,NJ@CAR 11/02/2019 07:00PM ET,CAR,0
D,Gustav Forsling (13688444),Gustav Forsling,13688444,D/UTIL,2500,NJ@CAR 11/02/2019 07:00PM ET,CAR,0
C,Riley Nash (13687092),Riley Nash,13687092,C/UTIL,2500,CGY@CLS 11/02/2019 07:00PM ET,CLS,4.63
C,Mark Jankowski (13687098),Mark Jankowski,13687098,C/UTIL,2500,CGY@CLS 11/02/2019 07:00PM ET,CGY,1.74
C,Zac Dalpe (13687124),Zac Dalpe,13687124,C/UTIL,2500,CGY@CLS 11/02/2019 07:00PM ET,CLS,0
C,Kevin Stenlund (13687138),Kevin Stenlund,13687138,C/UTIL,2500,CGY@CLS 11/02/2019 07:00PM ET,CLS,0
C,Matthew Phillips (13687174),Matthew Phillips,13687174,C/UTIL,2500,CGY@CLS 11/02/2019 07:00PM ET,CGY,0
C,Liam Foudy (13687176),Liam Foudy,13687176,C/UTIL,2500,CGY@CLS 11/02/2019 07:00PM ET,CLS,0
C,Byron Froese (13687226),Byron Froese,13687226,C/UTIL,2500,CGY@CLS 11/02/2019 07:00PM ET,CGY,0
LW,Sonny Milano (13687610),Sonny Milano,13687610,W/UTIL,2500,CGY@CLS 11/02/2019 07:00PM ET,CLS,5.73
LW,Milan Lucic (13687652),Milan Lucic,13687652,W/UTIL,2500,CGY@CLS 11/02/2019 07:00PM ET,CGY,3.15
LW,Jakob Lilja (13687658),Jakob Lilja,13687658,W/UTIL,2500,CGY@CLS 11/02/2019 07:00PM ET,CLS,3.69
RW,Tobias Rieder (13687676),Tobias Rieder,13687676,W/UTIL,2500,CGY@CLS 11/02/2019 07:00PM ET,CGY,3.26
RW,Markus Hannikainen (13687680),Markus Hannikainen,13687680,W/UTIL,2500,CGY@CLS 11/02/2019 07:00PM ET,CLS,0
LW,Alexandre Texier (13687698),Alexandre Texier,13687698,W/UTIL,2500,CGY@CLS 11/02/2019 07:00PM ET,CLS,4.28
RW,Lukas Sedlak (13687730),Lukas Sedlak,13687730,W/UTIL,2500,CGY@CLS 11/02/2019 07:00PM ET,CLS,0
LW,Justin Kirkland (13687736),Justin Kirkland,13687736,W/UTIL,2500,CGY@CLS 11/02/2019 07:00PM ET,CGY,0
LW,Jakob Pelletier (13687740),Jakob Pelletier,13687740,W/UTIL,2500,CGY@CLS 11/02/2019 07:00PM ET,CGY,0
LW,Dillon Dube (13687754),Dillon Dube,13687754,W/UTIL,2500,CGY@CLS 11/02/2019 07:00PM ET,CGY,0
RW,Kole Sherwood (13687812),Kole Sherwood,13687812,W/UTIL,2500,CGY@CLS 11/02/2019 07:00PM ET,CLS,0
LW,Ryan Lomberg (13687890),Ryan Lomberg,13687890,W/UTIL,2500,CGY@CLS 11/02/2019 07:00PM ET,CGY,0
